//Data_Client 
//Id 	Name 	Level 	Hp 	Sp 	Int1 	Atk1 	Def1 	Hpx1 	Spx1 	Agi1 	Fai1 	Int2 	Atk2 	Def2 	Hpx2 	Spx2 	Agi2 	Fai2 	element 	elem_val 	equippos 	RbPetFrom 	RbPetTo 	AddPet 	
10000	D¤u Ch¤m Höi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10001	Cu¯c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10002	Ðoän ðao 	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10003	Ðao Ng¡n vàng	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10004	Ðao Ð°ng Hoàn 	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10005	Ðao Phong Ðµng	10	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10006	Ðao H¡t Thiªt	15	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10007	Ðao Xích Tinh	20	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10008	Ðao Nghi Phong 	25	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10009	Ðao Hàn Sß½ng 	30	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10010	Ðao Lßu Kim 	35	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10011	Ðao quang Ma 	40	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10012	Ðao Nh÷n	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10013	Ðao Ng¡n Tím	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10014	Ðao Hoàng Nh§t 	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10015	Ðao Ð¸a Long 	10	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10016	Ðao Giang NgÕc 	15	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10017	Ðao Cñ Nghiêm	45	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10018	Ðao Chinh NgÕn 	50	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10019	Ðao HÕc Minh 	55	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10020	Ðao Lßu Tinh 	60	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10021	Ðao Danh Ho£c 	65	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10022	Ðao H± khiªu 	70	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10023	Ðao Phøng Minh 	75	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10024	Ðao Kinh Kha	80	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10025	Ðao Mã Vi®n 	85	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10026	Ðao HÕng Vß½ng	90	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10027	Ðao Xung Hãi 	93	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10028	Ðao Ch¤n C± 	96	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10029	Ðao C± Ð¸nh 	99	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10030	Ðao Binh Thánh 	102	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10031	Ðao Vån Khúc 	105	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10032	Ðao Chu¦n Âm 	108	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10033	Ðao Ðiêu Long 	111	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10034	Ðao CØu Hoàn 	114	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10035	Ðao Th¤t Tinh 	117	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10036	Ðao Höa ÐÑc 	120	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10037	Tr¡c Thí Ðao 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10038	Vû khí höng	123	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10039	Ðao Xích Ðª 	126	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10040	Ðao Ngñ Ðª 	129	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10041	Ðao Hô Ma 	132	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10042	Ðao Thiên Ðãng 	135	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10043	Ðao Tuy®Thuyªt 	55	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10044	Ðao Bái Lang 	30	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	5	2	3	0	0	0	
10045	Hß½ng Dûng Ðao 	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	1	3	0	0	0	
10046	Ti¬u Ðao 	99	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10047	Vi®n Kim Ðao 	80	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	5	2	3	0	0	0	
10048	Chí Quân Ðao 	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10485	ÐoÕt H°n Ðång	117	0	0	0	32	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	
10486	Nhip Ðång Lung 	117	0	0	32	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	
10487	Tân Vß½ng Hoa	60	0	0	0	15	0	0	0	0	0	0	0	0	20	0	0	0	0	0	3	0	0	0	
10488	B° Th¥n Träo	117	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10489	Dß½ng Trßþng	117	0	0	36	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	3	0	0	0	
10490	Súng XP	117	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10491	Bút Phán Quan	117	0	0	50	0	0	0	0	0	0	0	0	-15	0	0	0	0	0	0	3	0	0	0	
10492	Kiªm Lang Nga	117	0	0	0	29	0	0	0	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	
10493	Long Bäo Ði¬n	117	0	0	33	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	
10494	QuÕt BÕch Phßþng	117	0	0	30	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	
10495	Long Nha Chùy	117	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10496	Búa Siêu Bñ	117	0	0	0	50	0	0	0	0	0	0	0	0	0	0	-15	0	0	0	3	0	0	0	
10497	Hoàng Cân S× Ð¥u	85	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10499	Ðao hµ pháp	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	-60	0	0	0	3	0	0	0	
10500	Ðao Phøc Thù	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	-20	0	0	0	3	0	0	0	
10501	Ðao Thß½ng Tuyªt	40	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	
10502	Ðao Cu°n Sa 	40	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	
10503	Ðao Hàn TrÕch 	40	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	0	0	0	
10504	Ðao Ho£c Diêm 	40	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	0	0	0	
10505	Ðao Bân Lôi 	15	0	0	0	15	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	
10506	Ðao Tuyên Ni 	25	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10507	Ðao Linh H° 	30	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
10508	Ðao Thiên C× 	65	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	
10509	Ðao Lång Phong 	65	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	
10510	Ho£c Diêm Ðao 	65	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0	0	0	
10511	Bôn Lôi Ðao 	65	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	0	0	
10512	Tuyªt Ni Ðao 	80	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	
10513	Linh H° Ðao 	80	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	
10514	Thiên Cñ Ðao 	80	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0	0	0	
10515	Ðao Lång Phong	80	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	0	0	
10516	M£c Vû Ðao 	96	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	
10517	Lãng Vån Ðao 	96	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	
10518	Ma Hoä Ðao 	96	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0	0	0	
10519	Cß½ng Ðao 	96	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	0	0	
10520	Ðao Tinh Luy®n	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	
10521	Búa thép	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	2	0	1	1	3	0	0	0	
10522	Búa thép	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	2	0	2	1	3	0	0	0	
10523	Búa thép	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	2	0	3	1	3	0	0	0	
10524	Búa thép	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	2	0	4	1	3	0	0	0	
10525	Thiên Khu	108	0	0	0	33	0	0	0	0	0	0	0	0	0	0	5	0	1	2	3	0	0	0	
