10701	19018	1	1370	340
10701	19018	2	990	380
10701	19018	3	590	420
10701	19018	4	1490	460
10801	33001	1	590	540
10801	33002	2	870	440
10801	33002	3	950	460
10801	15009	4	1430	660
10801	33003	5	310	580
10801	33003	6	230	600
10801	38210	7	1190	640
10801	38211	8	1170	720
10801	38212	9	1330	660
10801	38212	10	1310	720
10802	33001	1	590	540
10802	33002	2	870	440
10802	33002	3	950	460
10802	15009	4	1430	660
10802	33003	5	310	580
10802	33003	6	230	600
10802	38210	7	1190	640
10802	38211	8	1170	740
10802	38212	9	1330	680
10802	38212	10	1290	740
10803	33001	1	590	540
10803	33002	2	870	440
10803	33002	3	950	460
10803	15009	4	1430	660
10803	33003	5	310	580
10803	33003	6	230	600
10803	38210	7	1190	620
10803	38211	8	1150	700
10803	38212	9	1350	660
10803	38212	10	1310	720
10804	33001	1	590	540
10804	33002	2	870	440
10804	33002	3	950	460
10804	15009	4	1430	660
10804	33003	5	310	580
10804	33003	6	230	600
10804	38210	7	1190	620
10804	38211	8	1150	680
10804	38212	9	1350	660
10804	38212	10	1310	720
10805	33001	1	590	540
10805	33002	2	870	440
10805	33002	3	950	460
10805	15009	4	1430	660
10805	33003	5	310	580
10805	33003	6	230	600
10805	38210	7	1210	620
10805	38211	8	1170	680
10805	38212	9	1350	660
10805	38212	10	1310	720
10806	33001	1	590	540
10806	33002	2	870	440
10806	33002	3	950	460
10806	15009	4	1430	660
10806	33003	5	310	580
10806	33003	6	230	600
10806	38210	7	1210	620
10806	38211	8	1150	680
10806	38212	9	1350	680
10806	38212	10	1290	740
10807	33001	1	590	540
10807	33002	2	870	440
10807	33002	3	950	460
10807	15009	4	1430	660
10807	33003	5	310	580
10807	33003	6	230	600
10807	38210	7	1210	600
10807	38211	8	1150	660
10807	38212	9	1350	680
10807	38212	10	1290	740
10808	33001	1	590	540
10808	33002	2	870	440
10808	33002	3	950	460
10808	15009	4	1430	660
10808	33003	5	310	580
10808	33003	6	230	600
10808	38210	7	1210	600
10808	38211	8	1170	660
10808	38212	9	1350	660
10808	38212	10	1290	720
10809	33001	1	590	540
10809	33002	2	870	440
10809	33002	3	950	460
10809	15009	4	1430	660
10809	33003	5	310	580
10809	33003	6	230	600
10809	38210	7	1190	600
10809	38211	8	1130	660
10809	38212	9	1350	680
10809	38212	10	1290	740
10810	33001	1	590	540
10810	33002	2	870	440
10810	33002	3	950	460
10810	15009	4	1430	660
10810	33003	5	310	580
10810	33003	6	230	600
10810	38210	7	1190	620
10810	38211	8	1130	680
10810	38212	9	1350	680
10810	38212	10	1290	740
10811	33001	1	590	540
10811	33002	2	870	440
10811	33002	3	950	460
10811	15009	4	1430	660
10811	33003	5	310	580
10811	33003	6	230	600
10811	38210	7	1210	600
10811	38211	8	1150	660
10811	38212	9	1350	680
10811	38212	10	1290	740
10812	33001	1	590	540
10812	33002	2	870	440
10812	33002	3	950	460
10812	15009	4	1430	660
10812	33003	5	310	580
10812	33003	6	230	600
10812	38210	7	1210	620
10812	38211	8	1150	680
10812	38212	9	1350	700
10812	38212	10	1270	740
10813	33001	1	590	540
10813	33002	2	870	440
10813	33002	3	950	460
10813	15009	4	1430	660
10813	33003	5	310	580
10813	33003	6	230	600
10813	38210	7	1190	620
10813	38211	8	1130	660
10813	38212	9	1350	700
10813	38212	10	1270	740
10814	33001	1	590	540
10814	33002	2	870	440
10814	33002	3	950	460
10814	15009	4	1430	660
10814	33003	5	310	580
10814	33003	6	230	600
10814	38210	7	1210	620
10814	38211	8	1150	680
10814	38212	9	1350	680
10814	38212	10	1270	740
10815	33001	1	590	540
10815	33002	2	870	440
10815	33002	3	950	460
10815	15009	4	1430	660
10815	33003	5	310	580
10815	33003	6	230	600
10815	38210	7	1210	600
10815	38211	8	1150	660
10815	38212	9	1370	680
10815	38212	10	1290	740
10816	33001	1	590	540
10816	33002	2	870	440
10816	33002	3	950	460
10816	15009	4	1430	660
10816	33003	5	310	580
10816	33003	6	230	600
10816	38210	7	1210	600
10816	38211	8	1150	660
10816	38212	9	1370	700
10816	38212	10	1290	740
10817	33001	1	590	540
10817	33002	2	870	440
10817	33002	3	950	460
10817	15009	4	1430	660
10817	33003	5	310	580
10817	33003	6	230	600
10817	38210	7	1230	620
10817	38211	8	1150	660
10817	38212	9	1350	700
10817	38212	10	1270	760
10818	33001	1	590	540
10818	33002	2	870	440
10818	33002	3	950	460
10818	15009	4	1430	660
10818	33003	5	310	580
10818	33003	6	230	600
10818	38210	7	1210	600
10818	38211	8	1130	660
10818	38212	9	1350	700
10818	38212	10	1270	740
10819	33001	1	590	540
10819	33002	2	870	440
10819	33002	3	950	460
10819	15009	4	1430	660
10819	33003	5	310	580
10819	33003	6	230	600
10819	38210	7	1210	620
10819	38211	8	1150	660
10819	38212	9	1370	700
10819	38212	10	1290	740
10820	33001	1	590	540
10820	33002	2	870	440
10820	33002	3	950	460
10820	15009	4	1430	660
10820	33003	5	310	580
10820	33003	6	230	600
10820	38210	7	1230	620
10820	38211	8	1150	660
10820	38212	9	1330	700
10820	38212	10	1230	760
10851	15049	1	1030	280
10851	15050	2	1190	200
10851	45300	3	810	500
10851	45294	4	1010	560
10851	45307	5	870	460
10851	45299	6	1010	480
10851	45295	7	950	460
10851	15465	8	1390	300
10851	15466	9	1310	380
10851	38210	10	750	540
10851	38211	11	970	620
10852	15049	1	1030	280
10852	15050	2	1190	200
10852	45300	3	810	500
10852	45294	4	1010	560
10852	45307	5	870	460
10852	45299	6	1010	480
10852	45295	7	950	460
10852	15465	8	1390	320
10852	15466	9	1310	400
10852	38210	10	750	560
10852	38211	11	950	620
10853	15049	1	1030	280
10853	15050	2	1190	200
10853	45300	3	810	500
10853	45294	4	1010	560
10853	45307	5	870	460
10853	45299	6	1010	480
10853	45295	7	950	460
10853	15465	8	1370	320
10853	15466	9	1310	400
10853	38210	10	750	540
10853	38211	11	950	620
10854	15049	1	1030	280
10854	15050	2	1190	200
10854	45300	3	810	500
10854	45294	4	1010	560
10854	45307	5	870	460
10854	45299	6	1010	480
10854	45295	7	950	460
10854	15465	8	1370	320
10854	15466	9	1290	420
10854	38210	10	750	540
10854	38211	11	950	620
10855	15049	1	1030	280
10855	15050	2	1190	200
10855	45300	3	810	500
10855	45294	4	1010	560
10855	45307	5	870	460
10855	45299	6	1010	480
10855	45295	7	950	460
10855	15465	8	1390	320
10855	15466	9	1310	400
10855	38210	10	750	540
10855	38211	11	950	620
10856	15049	1	1030	280
10856	15050	2	1190	200
10856	45300	3	810	500
10856	45294	4	1010	560
10856	45307	5	870	460
10856	45299	6	1010	480
10856	45295	7	950	460
10856	15465	8	1390	320
10856	15466	9	1330	420
10856	38210	10	730	540
10856	38211	11	930	620
10857	15049	1	1030	280
10857	15050	2	1190	200
10857	45300	3	810	500
10857	45294	4	1010	560
10857	45307	5	870	460
10857	45299	6	1010	480
10857	45295	7	950	460
10857	15465	8	1370	320
10857	15466	9	1290	400
10857	38210	10	750	540
10857	38211	11	930	620
10858	15049	1	1030	280
10858	15050	2	1190	200
10858	45300	3	810	500
10858	45294	4	1010	560
10858	45307	5	870	460
10858	45299	6	1010	480
10858	45295	7	950	460
10858	15465	8	1370	340
10858	15466	9	1270	420
10858	38210	10	750	540
10858	38211	11	970	620
10859	15049	1	1030	280
10859	15050	2	1190	200
10859	45300	3	810	500
10859	45294	4	1010	560
10859	45307	5	870	460
10859	45299	6	1010	480
