//Mapid1	WarpId	Diahinh	1	2	3	4	5	6	7	8	9	10
60011	2	171	27061	27065	27066	27067	27060	0	0	27068	0	0
11558	2	365	0	14139	14139	0	0	0	0	0	0	0
11571	1	621	14139	14136	14137	14136	14139	0	14136	14137	14136	0
15000	25	27506	13044	13026	13047	13048	13044	0	0	0	0	0
15000	26	28274	13044	13001	13028	13006	13044	0	0	0	0	0
15510	2	365	10173	10176	10171	10176	10173	0	0	0	0	0
11000	8	613	10176	10176	10101	10176	10176	0	0	0	0	0
12000	27	3709	10045	10047	10026	10047	10045	0	0	0	0	0
12000	30	39525	10045	10047	10026	10047	10045	0	0	0	0	0
12000	8	4712	0	17027	14001	17027	0	0	17027	14049	0	0
12851	2	634	0	0	0	0	0	30001	11015	14184	11030	30001
12000	11	9843	11017	14179	14185	11029	17016	0	0	0	0	0
12000	14	23141	0	17009	17009	17009	0	0	0	0	0	0
12000	16	1646	17015	14118	14001	14182	17015	0	0	0	0	0
12000	3	876	10038	10213	10004	10213	10038	10038	10111	10005	10111	10038
12000	10	627	17005	14121	14120	17005	17005	0	0	0	0	0
12421	2	369	17001	14120	14121	17001	17001	0	0	0	0	0
12815	5	2417	17278	17278	14176	17278	17278	17278	14177	0	14384	17278
12431	3	633	17060	14179	14185	14269	17060	0	0	0	0	0
12431	4	889	17060	14179	14185	14269	17060	0	0	0	0	0
20402	1	380	17183	17183	17183	17183	17183	0	11045	11103	11101	0
12013	1	5479	0	10116	10014	10015	10116	0	0	10116	10116	0
12544	3	1901	0	10091	10091	10091	10091	0	0	0	0	0
12544	4	2157	0	10094	10094	10094	10094	0	0	0	0	0
12546	2	1901	0	10091	10091	10091	10091	0	0	0	0	0
12569	2	365	0	0	10003	0	0	0	10094	0	10094	0
12570	2	365	0	0	10002	0	0	0	10053	0	10053	0
12000	34	3173	17014	0	17014	0	17014	0	17014	0	17014	0
12000	33	39013	10045	10047	10026	10047	10045	0	0	0	0	0
13491	2	393	17581	17581	17581	17581	17581	0	11068	11076	11087	0
13434	2	366	19007	19006	19004	19008	0	19013	19010	19005	19011	0
13431	2	377	17215	14017	14009	14183	17216	14064	17219	14010	17220	14067
13421	2	633	30001	14025	14014	14074	30001	0	0	14061	0	0
13422	1	380	14175	14051	14015	14004	14005	0	0	0	0	0
13432	1	380	17221	14017	14061	11065	17219	14015	17216	0	17215	14080
13411	2	377	14007	17217	14010	17218	14012	17219	14008	17220	14018	17221
13412	2	380	19012	17216	19011	17215	19010	17219	19016	17217	19015	17220
13404	3	372	0	17124	14015	14014	17124	0	17124	17124	17124	0
14401	2	377	17124	11065	14045	11035	17124	0	17124	17124	17124	0
14402	1	380	19008	19007	19009	19004	19006	17215	17217	19005	17218	17216
13401	2	377	17215	14063	14282	14090	17216	17219	14281	17217	14280	17220
13403	2	380	17216	19013	19009	19011	17215	17221	19012	17220	19010	17219
15401	2	377	17057	17057	14006	17057	17057	0	17057	17057	17057	0
15402	1	2940	17097	17097	17097	17097	17097	0	14088	14125	14089	0
13000	27	22886	17105	11005	17105	11042	17105	0	17105	17105	17105	0
21000	4	21350	0	17365	0	17365	0	0	0	12011	0	0
21000	40	19570	17106	13062	13027	13015	17106	0	0	17106	0	0
18000	33	7538	17106	13034	13010	13020	17106	0	0	17106	0	0
15000	27	28018	0	13043	14366	13043	0	14368	0	14367	0	13046
18000	36	13426	0	13085	13048	13026	0	17257	17257	17257	17257	17257
26000	1	8562	17589	14562	14564	14563	17589	0	17589	17589	17589	0
15481	2	370	0	10180	14246	10180	0	0	0	0	0	0
15481	4	370	0	10180	14246	10180	0	0	0	0	0	0
15481	5	1142	13046	14246	13008	14246	13028	0	10180	13047	10180	0
15491	2	1383	0	17018	17018	17018	0	0	0	13006	0	0
12000	9	1388	17015	0	17015	0	17015	0	17015	0	17015	0
11521	2	365	10174	10174	10016	10174	10174	0	0	0	0	0
11529	1	365	10175	10175	10013	10175	10175	0	0	0	0	0
49901	2	365	10175	10175	10013	10175	10175	0	0	0	0	0
49902	2	365	10175	10175	10013	10175	10175	0	0	0	0	0
49903	2	365	10175	10175	10013	10175	10175	0	0	0	0	0
49904	2	365	10175	10175	10013	10175	10175	0	0	0	0	0
49905	2	365	10175	10175	10013	10175	10175	0	0	0	0	0
49906	2	365	10175	10175	10013	10175	10175	0	0	0	0	0
49907	2	365	10175	10175	10013	10175	10175	0	0	0	0	0
49908	2	365	35056	0	35054	0	35055	61025	61026	47010	61027	61028
59401	1	168	0	27130	0	27129	0	27132	0	0	0	27131
//12922	3	1700	27108	27135	27136	27137	27080	35039	35040	35041	35042	35047
61534	2	365	40005	0	40005	0	40005	0	40006	0	40007	0
